rtime,distance
2020-11-07 13:40:47,13.1
2020-11-07 13:40:48,13.52
2020-11-07 13:40:49,13.96
2020-11-07 13:40:50,14.8
2020-11-07 13:40:51,15.58
2020-11-07 13:40:52,16.0
2020-11-07 13:40:53,4.76
2020-11-07 13:40:54,5.23
2020-11-07 13:40:55,6.02
2020-11-07 13:40:56,6.63
2020-11-07 13:40:57,7.7
2020-11-07 13:40:58,9.06
2020-11-07 13:40:59,10.97
2020-11-07 13:41:00,12.23
2020-11-07 13:41:01,12.51
2020-11-07 13:41:02,12.41
2020-11-07 13:41:03,12.05
2020-11-07 13:41:04,10.9
2020-11-07 13:41:05,9.29
2020-11-07 13:41:06,7.0
2020-11-07 13:41:07,6.09
2020-11-07 13:41:08,5.49
2020-11-07 13:41:09,5.12
2020-11-07 13:41:10,4.6
2020-11-07 13:41:11,4.65
2020-11-07 13:41:12,5.55
2020-11-07 13:41:13,6.35
2020-11-07 13:41:14,7.93
2020-11-07 13:41:15,9.23
2020-11-07 13:41:16,9.78
2020-11-07 13:41:17,9.85
2020-11-07 13:41:18,10.25
2020-11-07 13:41:19,10.25
2020-11-07 13:41:20,10.53
2020-11-07 13:41:21,10.25
2020-11-07 13:41:22,9.23
2020-11-07 13:41:23,7.98
2020-11-07 13:41:29,7.7
2020-11-07 13:41:30,6.92
2020-11-07 13:41:31,7.44
2020-11-07 13:41:32,9.23
2020-11-07 13:41:33,10.11
2020-11-07 13:41:34,10.53
2020-11-07 13:41:35,11.13
2020-11-07 13:41:36,10.67
2020-11-07 13:41:37,9.85
2020-11-07 13:41:38,8.37
2020-11-07 13:41:39,6.59
2020-11-07 13:41:40,6.02
2020-11-07 13:41:41,6.12
2020-11-07 13:41:42,6.45
2020-11-07 13:41:43,6.85
2020-11-07 13:41:44,7.0
2020-11-07 13:41:45,7.16
2020-11-07 13:41:46,7.2
2020-11-07 13:41:47,7.16
2020-11-07 13:41:48,7.24
2020-11-07 13:41:49,7.2
2020-11-07 13:41:51,32.34
2020-11-07 13:41:52,30.0
2020-11-07 13:41:53,37.52
2020-11-07 13:41:54,11.53
2020-11-07 13:41:55,13.74
2020-11-07 13:41:56,3.36
2020-11-07 13:41:57,4.65
2020-11-07 13:41:58,5.52
2020-11-07 13:41:59,5.84
2020-11-07 13:42:00,6.85
2020-11-07 13:42:01,7.28
2020-11-07 13:42:02,8.42
2020-11-07 13:42:03,8.62
2020-11-07 13:42:04,9.41
2020-11-07 13:42:05,10.04
2020-11-07 13:42:06,10.18
2020-11-07 13:42:07,11.62
2020-11-07 13:42:08,12.23
2020-11-07 13:42:09,11.96
2020-11-07 13:42:10,11.37
2020-11-07 13:42:11,10.04
2020-11-07 13:42:12,10.32
2020-11-07 13:42:13,10.11
2020-11-07 13:42:14,9.85
2020-11-07 13:42:15,9.72
2020-11-07 13:42:16,9.91
2020-11-07 13:42:17,9.53
2020-11-07 13:42:18,9.17
2020-11-07 13:42:19,8.57
2020-11-07 13:42:20,8.37
2020-11-07 13:42:21,7.84
2020-11-07 13:42:22,7.32
2020-11-07 13:42:23,7.16
2020-11-07 13:42:24,7.57
2020-11-07 13:42:25,9.35
2020-11-07 13:42:26,10.97
2020-11-07 13:42:27,11.45
2020-11-07 13:42:28,12.14
2020-11-07 13:42:29,12.7
2020-11-07 13:42:30,13.1
2020-11-07 13:42:32,14.8
2020-11-07 13:42:33,14.92
2020-11-07 13:42:34,15.58
2020-11-07 13:42:35,15.72
2020-11-07 13:42:36,16.0
2020-11-07 13:42:37,16.9
2020-11-07 13:42:38,16.44
2020-11-07 13:42:39,16.9
2020-11-07 13:42:40,18.07
2020-11-07 13:42:41,18.43
2020-11-07 13:42:42,18.07
2020-11-07 13:42:43,19.18
2020-11-07 13:42:44,18.99
2020-11-07 13:42:45,18.43
2020-11-07 13:42:46,18.43
2020-11-07 13:42:47,18.61
2020-11-07 13:42:48,18.25
2020-11-07 13:42:49,20.0
2020-11-07 13:42:50,21.82
2020-11-07 13:42:51,20.42
2020-11-07 13:42:52,21.82
2020-11-07 13:42:53,23.95
2020-11-07 13:42:54,27.21
2020-11-07 13:42:56,31.85
2020-11-07 13:42:57,32.34
2020-11-07 13:42:58,35.63
2020-11-07 13:42:59,35.63
2020-11-07 13:43:00,38.19
2020-11-07 13:43:01,33.91
2020-11-07 13:43:02,35.04
2020-11-07 13:43:03,35.63
2020-11-07 13:43:04,35.04
2020-11-07 13:43:05,36.87
2020-11-07 13:43:06,76.49
2020-11-07 13:43:07,67.44
2020-11-07 13:43:08,63.64
2020-11-07 13:43:09,22.06
2020-11-07 13:43:10,23.66
2020-11-07 13:43:11,25.81
2020-11-07 13:43:12,25.49
2020-11-07 13:43:13,27.96
2020-11-07 13:43:14,28.34
2020-11-07 13:43:15,28.74
2020-11-07 13:43:16,26.15
2020-11-07 13:43:17,26.49
2020-11-07 13:43:18,25.81
2020-11-07 13:43:19,23.66
2020-11-07 13:43:20,22.32
2020-11-07 13:43:21,20.42
2020-11-07 13:43:22,20.42
2020-11-07 13:43:23,19.18
2020-11-07 13:43:24,20.0
2020-11-07 13:43:25,18.07
2020-11-07 13:43:26,19.38
2020-11-07 13:43:27,18.8
2020-11-07 13:43:28,19.38
2020-11-07 13:43:29,19.38
2020-11-07 13:43:30,17.55
2020-11-07 13:43:31,19.38
2020-11-07 13:43:32,18.8
2020-11-07 13:43:33,18.25
2020-11-07 13:43:34,17.89
2020-11-07 13:43:35,17.72
2020-11-07 13:43:36,18.25
2020-11-07 13:43:37,18.99
2020-11-07 13:43:38,19.18
2020-11-07 13:43:39,21.1
2020-11-07 13:43:40,21.82
2020-11-07 13:43:41,20.42
2020-11-07 13:43:42,21.33
2020-11-07 13:43:43,22.06
2020-11-07 13:43:44,19.18
2020-11-07 13:43:45,19.38
2020-11-07 13:43:46,20.42
2020-11-07 13:43:47,20.87
2020-11-07 13:43:48,19.79
2020-11-07 13:43:49,20.65
2020-11-07 13:43:50,20.65
2020-11-07 13:43:51,21.1
2020-11-07 13:43:52,22.06
2020-11-07 13:43:53,20.42
2020-11-07 13:43:54,20.21
2020-11-07 13:43:55,18.99
2020-11-07 13:43:56,21.33
2020-11-07 13:43:57,20.87
2020-11-07 13:43:58,20.87
2020-11-07 13:43:59,20.65
2020-11-07 13:44:00,21.33
2020-11-07 13:44:01,21.82
2020-11-07 13:44:02,21.82
2020-11-07 13:44:03,21.82
2020-11-07 13:44:04,21.33
2020-11-07 13:44:05,22.57
2020-11-07 13:44:06,21.33
2020-11-07 13:44:07,22.06
2020-11-07 13:44:08,21.1
2020-11-07 13:44:09,22.84
2020-11-07 13:44:10,22.84
2020-11-07 13:44:11,23.11
2020-11-07 13:44:12,23.66
2020-11-07 13:44:13,22.06
2020-11-07 13:44:14,23.95
2020-11-07 13:44:15,24.85
2020-11-07 13:44:16,25.49
2020-11-07 13:44:17,24.54
2020-11-07 13:44:18,25.81
2020-11-07 13:44:19,26.85
2020-11-07 13:44:20,24.85
2020-11-07 13:44:21,25.81
2020-11-07 13:44:22,27.21
2020-11-07 13:44:23,27.21
2020-11-07 13:44:24,26.85
2020-11-07 13:44:25,25.16
2020-11-07 13:44:26,26.15
