date,time,distance
2020-11-07,13:40:47,13.1
2020-11-07,13:40:47,13.1
2020-11-07,13:40:48,13.52
2020-11-07,13:40:48,13.63
2020-11-07,13:40:48,13.31
2020-11-07,13:40:48,13.1
2020-11-07,13:40:48,13.85
2020-11-07,13:40:48,14.55
2020-11-07,13:40:48,14.8
2020-11-07,13:40:48,14.55
2020-11-07,13:40:48,14.8
2020-11-07,13:40:48,14.19
2020-11-07,13:40:49,13.96
2020-11-07,13:40:49,14.19
2020-11-07,13:40:49,14.19
2020-11-07,13:40:49,14.08
2020-11-07,13:40:49,14.19
2020-11-07,13:40:49,14.31
2020-11-07,13:40:49,14.31
2020-11-07,13:40:49,14.55
2020-11-07,13:40:49,14.67
2020-11-07,13:40:49,14.43
2020-11-07,13:40:49,14.55
2020-11-07,13:40:50,14.8
2020-11-07,13:40:50,14.55
2020-11-07,13:40:50,14.8
2020-11-07,13:40:50,14.67
2020-11-07,13:40:50,14.55
2020-11-07,13:40:50,14.92
2020-11-07,13:40:50,15.72
2020-11-07,13:40:50,15.72
2020-11-07,13:40:50,15.45
2020-11-07,13:40:51,15.58
2020-11-07,13:40:51,15.31
2020-11-07,13:40:51,15.86
2020-11-07,13:40:51,15.72
2020-11-07,13:40:51,16.29
2020-11-07,13:40:51,15.72
2020-11-07,13:40:51,16
2020-11-07,13:40:51,16.15
2020-11-07,13:40:51,15.72
2020-11-07,13:40:51,15.72
2020-11-07,13:40:52,16
2020-11-07,13:40:52,16.44
2020-11-07,13:40:52,16.44
2020-11-07,13:40:52,16.15
2020-11-07,13:40:52,16.44
2020-11-07,13:40:52,16.44
2020-11-07,13:40:52,16.59
2020-11-07,13:40:52,16.59
2020-11-07,13:40:52,4.31
2020-11-07,13:40:52,4.45
2020-11-07,13:40:53,4.76
2020-11-07,13:40:53,4.72
2020-11-07,13:40:53,4.81
2020-11-07,13:40:53,4.86
2020-11-07,13:40:53,4.86
2020-11-07,13:40:53,4.88
2020-11-07,13:40:53,4.88
2020-11-07,13:40:53,4.81
2020-11-07,13:40:53,4.97
2020-11-07,13:40:53,5.02
2020-11-07,13:40:54,5.23
2020-11-07,13:40:54,5.36
2020-11-07,13:40:54,5.44
2020-11-07,13:40:54,5.58
2020-11-07,13:40:54,5.61
2020-11-07,13:40:54,5.49
2020-11-07,13:40:54,5.61
2020-11-07,13:40:54,5.63
2020-11-07,13:40:54,5.81
2020-11-07,13:40:54,5.96
2020-11-07,13:40:55,6.02
2020-11-07,13:40:55,6.05
2020-11-07,13:40:55,6.12
2020-11-07,13:40:55,6.35
2020-11-07,13:40:55,6.05
2020-11-07,13:40:55,6.12
2020-11-07,13:40:55,6.18
2020-11-07,13:40:55,6.38
2020-11-07,13:40:55,6.52
2020-11-07,13:40:55,6.63
