,rtime,lkas,ldws,distance,speed,latitude,longtitude
0,2020-11-07 13:40:48,0,1,13.52,9,37.28673322,127.1034561
1,2020-11-07 13:40:49,0,1,13.96,8,37.28671352,127.103458
2,2020-11-07 13:40:50,0,1,14.8,8,37.28670137,127.1034594
3,2020-11-07 13:40:51,0,1,15.58,8,37.28668185,127.10346170000001
4,2020-11-07 13:40:52,0,1,16.0,8,37.2866591,127.10346329999999
5,2020-11-07 13:40:53,0,1,4.76,7,37.28663729,127.10346799999999
6,2020-11-07 13:40:54,0,1,5.23,7,37.28661463,127.1034716
7,2020-11-07 13:40:55,0,1,6.02,7,37.28658899,127.1034706
8,2020-11-07 13:40:56,0,1,6.63,8,37.28656814,127.10346509999998
9,2020-11-07 13:40:57,0,1,7.7,10,37.28654915,127.1034621
10,2020-11-07 13:40:58,0,1,9.06,11,37.2865298,127.10346840000001
11,2020-11-07 13:40:59,0,1,10.97,13,37.2865126,127.1034639
12,2020-11-07 13:41:00,0,1,12.23,16,37.28649421,127.1034603
13,2020-11-07 13:41:01,0,1,12.51,18,37.28647858,127.10346159999999
14,2020-11-07 13:41:02,0,1,12.41,19,37.28645448,127.10346080000001
15,2020-11-07 13:41:03,0,1,12.05,19,37.28642891,127.1034619
16,2020-11-07 13:41:04,0,1,10.9,20,37.28640028,127.10345900000002
17,2020-11-07 13:41:05,0,1,9.29,19,37.28636475,127.10345670000001
18,2020-11-07 13:41:06,0,1,7.0,16,37.28632241,127.10345500000001
19,2020-11-07 13:41:07,0,1,6.09,12,37.28627799,127.10345290000001
20,2020-11-07 13:41:08,0,1,5.49,11,37.28623394,127.1034505
21,2020-11-07 13:41:09,0,1,5.12,11,37.28618951,127.1034481
22,2020-11-07 13:41:10,0,1,4.6,10,37.28614743,127.1034471
23,2020-11-07 13:41:11,0,1,4.65,9,37.28610675,127.1034481
24,2020-11-07 13:41:12,0,1,5.55,9,37.28607304,127.1034528
25,2020-11-07 13:41:13,0,1,6.35,9,37.28604765,127.1034511
26,2020-11-07 13:41:14,0,1,7.93,9,37.28602426,127.1034487
27,2020-11-07 13:41:15,0,1,9.23,11,37.28599809,127.10344429999999
28,2020-11-07 13:41:16,0,1,9.78,13,37.28597311,127.1034399
29,2020-11-07 13:41:17,0,1,9.85,14,37.28595365,127.1034374
30,2020-11-07 13:41:18,0,1,10.25,14,37.28593266,127.1034356
31,2020-11-07 13:41:19,0,1,10.25,15,37.28591274,127.10343470000001
32,2020-11-07 13:41:20,0,1,10.53,15,37.285891,127.1034344
33,2020-11-07 13:41:21,0,1,10.25,16,37.285864000000004,127.10343359999999
34,2020-11-07 13:41:22,0,1,9.23,16,37.28583172,127.1034307
35,2020-11-07 13:41:29,0,1,7.7,15,37.28558467,127.10342250000001
36,2020-11-07 13:41:30,0,1,6.92,15,37.28554372,127.10342859999999
37,2020-11-07 13:41:31,0,1,7.44,15,37.28551017,127.1034364
38,2020-11-07 13:41:32,0,1,9.23,15,37.28546979,127.10343859999999
39,2020-11-07 13:41:33,0,1,10.11,20,37.28541913,127.10343629999998
40,2020-11-07 13:41:34,0,1,10.53,23,37.28536016,127.10343490000001
41,2020-11-07 13:41:35,0,1,11.13,25,37.28529854,127.1034334
42,2020-11-07 13:41:36,0,1,10.67,26,37.28523566,127.1034325
43,2020-11-07 13:41:37,0,1,9.85,25,37.28517396,127.10343710000001
44,2020-11-07 13:41:38,0,1,8.37,23,37.28512095,127.1034409
45,2020-11-07 13:41:39,0,1,6.59,18,37.28507238,127.10344939999999
46,2020-11-07 13:41:40,0,1,6.02,14,37.28503406,127.10345759999998
47,2020-11-07 13:41:41,0,1,6.12,10,37.28500626,127.1034635
48,2020-11-07 13:41:42,0,1,6.45,9,37.284980600000004,127.1034695
49,2020-11-07 13:41:43,0,1,6.85,9,37.28496069,127.10346990000001
50,2020-11-07 13:41:44,0,1,7.0,10,37.28494099,127.10347409999999
51,2020-11-07 13:41:45,0,1,7.16,11,37.28491884,127.1034785
52,2020-11-07 13:41:46,0,1,7.2,12,37.28489498,127.10348290000002
53,2020-11-07 13:41:47,0,1,7.16,12,37.28487126,127.1034892
54,2020-11-07 13:41:48,0,1,7.24,11,37.28484768,127.10349340000002
55,2020-11-07 13:41:49,0,1,7.2,10,37.28482222,127.1034959
56,2020-11-07 13:41:51,0,1,32.34,10,37.28476989999999,127.1035021
57,2020-11-07 13:41:52,0,1,30.0,10,37.28474106,127.10350700000001
58,2020-11-07 13:41:53,0,1,37.52,12,37.28471199,127.1035095
59,2020-11-07 13:41:54,0,1,11.53,15,37.28467731,127.10351270000001
60,2020-11-07 13:41:55,0,1,13.74,17,37.28463897,127.10351999999999
61,2020-11-07 13:41:56,0,1,3.36,17,37.28460164,127.1035271
62,2020-11-07 13:41:57,0,1,4.65,19,37.28456007,127.10353590000001
63,2020-11-07 13:41:58,0,1,5.52,21,37.28451007,127.10353899999998
64,2020-11-07 13:41:59,0,1,5.84,23,37.28445572,127.10353559999999
65,2020-11-07 13:42:00,0,1,6.85,24,37.28439892,127.1035334
66,2020-11-07 13:42:01,0,1,7.28,27,37.28433841,127.1035366
67,2020-11-07 13:42:02,0,1,8.42,29,37.28426928,127.10353959999999
68,2020-11-07 13:42:03,1,1,8.62,30,37.28419387,127.10354209999998
69,2020-11-07 13:42:04,1,1,9.41,31,37.28411927,127.1035441
70,2020-11-07 13:42:05,1,1,10.04,31,37.28404594,127.10354679999999
71,2020-11-07 13:42:06,1,1,10.18,31,37.28397138,127.10355109999999
72,2020-11-07 13:42:07,1,1,11.62,33,37.28388799,127.10355430000001
73,2020-11-07 13:42:08,1,1,12.23,35,37.28380217,127.10356000000002
74,2020-11-07 13:42:09,1,1,11.96,37,37.28371416,127.10356979999999
75,2020-11-07 13:42:10,1,1,11.37,38,37.28361648,127.1035787
76,2020-11-07 13:42:11,1,1,10.04,37,37.28352123,127.1035834
77,2020-11-07 13:42:12,1,1,10.32,36,37.28343194,127.10358319999999
78,2020-11-07 13:42:13,1,1,10.11,35,37.28334547,127.1035828
79,2020-11-07 13:42:14,1,1,9.85,34,37.28325839,127.1035883
80,2020-11-07 13:42:15,1,1,9.72,34,37.28317716,127.10358719999999
81,2020-11-07 13:42:16,1,1,9.91,34,37.28309456,127.1035858
82,2020-11-07 13:42:17,1,1,9.53,34,37.28300951,127.1035843
83,2020-11-07 13:42:18,1,1,9.17,34,37.28292701,127.1035814
84,2020-11-07 13:42:19,1,1,8.57,32,37.28284642,127.103583
85,2020-11-07 13:42:20,1,1,8.37,30,37.2827785,127.10358529999999
86,2020-11-07 13:42:21,1,1,7.84,28,37.28271012,127.10358259999998
87,2020-11-07 13:42:22,1,1,7.32,25,37.28265351,127.10358020000001
88,2020-11-07 13:42:23,1,1,7.16,23,37.28261044,127.10358640000001
89,2020-11-07 13:42:24,1,1,7.57,21,37.28255953,127.10358909999998
