date,time,provider,device_name,latitude,longtitude,speed,ldws,lkas
2020-10-23,15:11:10,gps,device0,37.38486969,126.85584779999999,47,0,0
2020-10-23,15:11:11,gps,device0,37.38486969,126.85584779999999,48,0,0
2020-10-23,15:11:12,gps,device0,37.38486969,126.85584779999999,88,0,0
2020-10-23,15:11:13,gps,device0,37.38486969,126.85584779999999,53,0,0
2020-10-23,15:11:14,gps,device0,37.38486969,126.85584779999999,55,0,0
2020-10-23,15:11:15,gps,device0,37.38486969,126.85584779999999,58,0,0
2020-10-23,15:11:16,gps,device0,37.38486969,126.85584779999999,61,0,0
2020-10-23,15:11:17,gps,device0,37.38486969,126.85584779999999,64,0,0
2020-10-23,15:11:18,gps,device0,37.38486969,126.85584779999999,66,0,0
2020-10-23,15:11:19,gps,device0,37.38486969,126.85584779999999,68,0,0
2020-10-23,15:11:20,gps,device0,37.38486969,126.85584779999999,69,0,0
2020-10-23,15:11:21,gps,device0,37.38486969,126.85584779999999,69,0,0
2020-10-23,15:11:22,gps,device0,37.38486969,126.85584779999999,4,0,0
2020-10-23,15:11:23,gps,device0,37.38486969,126.85584779999999,20,0,0
2020-10-23,15:11:24,gps,device0,37.38486969,126.85584779999999,37,0,1
2020-10-23,15:11:25,gps,device0,37.38486969,126.85584779999999,53,0,1
2020-10-23,15:11:26,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:27,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:28,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:29,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:30,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:31,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:32,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:11:33,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:34,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:35,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:36,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:37,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:11:38,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:39,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:40,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:41,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:42,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:11:43,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:11:44,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:45,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:46,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:47,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:48,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:49,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:50,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:11:51,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:11:52,gps,device0,37.38486969,126.85584779999999,71,0,1
2020-10-23,15:11:53,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:54,gps,device0,37.38486969,126.85584779999999,70,0,1
2020-10-23,15:11:55,gps,device0,37.38486969,126.85584779999999,70,0,1
